"","TP08A","TP08B","TP08C","TP08D","TP08E","TP08F","TP08G","TP08H","TP08J","TP08M","grp"
"41",8,9,8,7,10,10,10,10,7,8,3
"42",0,0,1,1,2,0,2,0,2,0,2
"43",5,4,4,6,4,6,5,5,5,6,1
"44",6.67,10,10,4.44,10,5.56,2.22,10,6.67,6.67,1
"45",10,10,10,10,10,10,10,10,8.89,10,3
"46",6.67,7.78,7.78,8.89,10,8.89,10,10,6.67,7.78,3
"47",1.11,1.11,4.44,0,0,1.11,4.44,1.11,1.11,1.11,2
"48",6,5,4,6,5,6,4,4,5,6,1
"49",6.67,10,7.78,6.67,10,10,8.89,7.78,10,8.89,3
"50",10,6.67,5.56,7.78,4.44,3.33,1.11,2.22,2.22,0,1
"51",10,10,10,10,10,10,10,10,10,10,3
"52",2,1,1,0,0,2,2,2,2,3,2
"53",7,7,8,8,7,9,7,7,10,7,3
"54",10,10,10,10,10,10,10,10,10,10,3
"55",10,10,10,8.89,10,10,10,10,10,10,3
"56",10,10,10,10,10,10,10,10,10,10,3
"57",2,2,0,2,2,2,0,3,1,2,2
"58",0,7.78,6.67,7.78,8.89,8.89,8.89,8.89,8.89,8.89,3
"59",6.67,7.78,10,5.56,10,10,8.89,10,10,10,3
"60",4.44,6.67,7.78,7.78,8.89,4.44,8.89,6.67,8.89,6.67,1
"61",10,10,10,10,10,10,10,10,10,10,3
"62",10,7,9,8,8,7,10,8,10,8,3
"63",10,10,10,10,10,10,10,10,10,10,3
"64",10,10,10,10,10,10,10,10,10,10,3
"65",10,10,10,10,10,10,10,10,10,4.44,3
"66",0,10,1.11,6.67,10,10,10,10,7.78,7.78,3
"67",10,10,10,10,10,10,7.78,10,10,10,3
"68",4,6,6,6,5,4,4,5,5,4,1
"69",10,10,10,4.44,10,10,10,10,7.78,10,3
"70",10,10,7.78,0,10,1.11,4.44,4.44,0,4.44,1
"71",3,3,3,1,3,2,0,1,0,2,2
"72",2,1,0,1,3,0,2,1,1,0,2
"73",5,5,4,4,5,4,4,6,4,6,1
"74",5.56,0,8.89,8.89,4.44,8.89,2.22,5.56,6.67,6.67,1
"75",4.44,6.67,6.67,4.44,10,6.67,10,7.78,7.78,10,3
"76",3,2,0,1,0,3,2,2,1,1,2
"77",8,10,10,9,7,9,7,8,10,7,3
"78",4.44,5.56,4.44,2.22,6.67,4.44,5.56,5.56,4.44,5.56,1
"79",2,0,2,2,0,0,3,0,3,1,2
"80",10,10,10,4.44,10,10,7.78,8.89,7.78,10,3
"81",7.78,10,8.89,7.78,10,8.89,8.89,8.89,8.89,10,3
"82",7,8,10,7,10,9,10,8,9,7,3
"83",6,6,6,4,4,6,6,6,4,6,1
"84",4,4,4,5,5,6,5,5,4,6,1
"85",3.33,7.78,4.44,4.44,8.89,6.67,6.67,3.33,4.44,3.33,1
"86",1.11,2.22,4.44,0,8.89,7.78,7.78,8.89,7.78,7.78,1
"87",10,10,10,9,10,8,8,7,7,7,3
"88",3.33,8.89,10,10,7.78,7.78,8.89,4.44,10,7.78,3
"89",10,10,10,10,10,10,10,10,10,10,3
"90",10,10,10,10,10,10,10,10,10,8.89,3
"91",10,10,10,7.78,10,10,10,10,7.78,10,3
"92",4.44,10,7.78,6.67,10,10,10,8.89,8.89,4.44,3
"93",0,10,10,3.33,7.78,4.44,4.44,3.33,3.33,1.11,1
"94",10,10,8.89,8.89,10,10,10,10,10,10,3
"95",8.89,8.89,7.78,6.67,10,10,8.89,8.89,2.22,8.89,3
"96",3.33,5.56,5.56,1.11,5.56,5.56,6.67,5.56,2.22,4.44,1
"97",10,4.44,7.78,1.11,7.78,5.56,7.78,8.89,6.67,6.67,1
"98",5.56,10,10,3.33,10,10,7.78,7.78,10,1.11,3
"99",8,8,7,10,9,10,7,7,8,10,3
"100",0,10,7.78,0,10,10,10,10,0,10,1
"101",4.44,4.44,7.78,6.67,7.78,6.67,8.89,7.78,6.67,3.33,1
"102",6,5,5,4,5,4,5,5,4,4,1
"103",1,0,0,3,3,2,1,3,3,2,2
"104",10,10,10,10,10,10,4.44,10,4.44,2.22,3
"105",9,10,8,7,9,8,9,10,9,8,3
"106",6.67,8.89,7.78,10,6.67,8.89,7.78,7.78,6.67,10,3
"107",10,10,8.89,8.89,7.78,4.44,8.89,7.78,8.89,0,3
"108",10,10,10,0,8.89,10,8.89,10,10,2.22,3
"109",10,10,10,4.44,10,7.78,10,10,8.89,10,3
"110",1.11,10,2.22,0,4.44,4.44,4.44,4.44,4.44,0,1
"111",6,5,4,5,6,4,4,4,5,5,1
"112",7.78,7.78,8.89,10,10,10,10,10,10,10,3
"113",1.11,10,7.78,4.44,8.89,7.78,6.67,7.78,5.56,8.89,1
"114",4,6,4,6,6,6,4,5,6,6,1
"115",10,10,10,10,10,10,10,10,10,10,3
"116",3,2,1,2,1,2,0,0,1,0,2
"117",3.33,3.33,5.56,3.33,5.56,3.33,0,0,0,0,2
"118",10,10,10,7.78,10,7.78,10,10,10,10,3
"119",6,5,5,5,4,6,4,6,6,5,1
"120",10,0,0,10,10,10,10,10,10,10,3
"121",7.78,8.89,10,4.44,10,8.89,8.89,8.89,5.56,10,3
"122",7.78,8.89,7.78,8.89,10,8.89,10,10,8.89,4.44,3
"123",7.78,7.78,7.78,5.56,7.78,7.78,7.78,7.78,7.78,7.78,3
"124",3.33,7.78,7.78,4.44,7.78,7.78,7.78,8.89,7.78,10,3
"125",1,0,3,2,0,1,2,2,1,1,2
"126",8,10,8,7,7,8,7,9,7,9,3
"127",8,8,10,7,7,10,10,10,7,8,3
"128",5,5,6,4,5,5,5,4,6,5,1
"129",6,5,4,5,6,6,4,5,5,5,1
"130",2.22,1.11,2.22,4.44,8.89,6.67,10,10,7.78,1.11,1
"131",7,8,10,8,9,7,10,8,7,8,3
"132",6,6,5,6,6,6,4,4,6,4,1
"133",4,6,5,6,5,4,4,4,6,6,1
"134",0,6.67,0,3.33,10,10,10,7.78,10,6.67,1
"135",9,9,9,7,7,7,10,8,10,8,3
"136",10,10,4.44,10,10,10,10,10,10,10,3
"137",5,4,6,4,5,4,6,4,6,5,1
"138",4,5,6,6,4,6,6,4,5,4,1
"139",3,1,2,0,3,0,1,0,3,3,2
"140",10,7,8,8,9,10,9,7,9,10,3
"141",2,3,3,0,1,1,1,1,0,0,2
"142",4.44,4.44,4.44,6.67,5.56,10,6.67,5.56,7.78,0,1
"143",7.78,10,10,4.44,10,7.78,10,10,8.89,10,3
"144",4.44,10,10,4.44,10,10,10,10,7.78,10,3
"145",8,9,8,7,10,9,10,8,8,8,3
"146",2.22,10,4.44,5.56,10,7.78,4.44,7.78,4.44,7.78,1
"147",7.78,10,8.89,5.56,10,6.67,6.67,10,10,10,3
"148",8,7,7,7,9,9,10,7,7,7,3
"149",7.78,10,7.78,5.56,10,7.78,10,10,10,10,3
"150",10,10,8.89,8.89,10,10,10,10,10,10,3
"151",10,3,10,10,10,10,10,10,10,10,3
"152",8.89,10,8.89,5.56,10,8.89,10,10,10,10,3
"153",7.78,7.78,7.78,8.89,8.89,6.67,4.44,8.89,6.67,4.44,3
"154",8.89,8.89,8.89,8.89,10,8.89,8.89,10,8.89,8.89,3
"155",7,7,7,8,7,7,10,9,8,9,3
"156",4.44,2.22,1.11,0,1.11,3.33,2.22,0,1.11,0,2
"157",10,10,9,8,8,8,10,8,8,8,3
"158",5,4,5,6,6,5,4,6,5,5,1
"159",1,3,2,3,1,3,3,0,2,3,2
"160",6.67,10,7.78,7.78,8.89,8.89,10,7.78,4.44,10,3
"161",3.33,6.67,6.67,2.22,7.78,5.56,2.22,5.56,4.44,4.44,1
"162",8.89,4.44,6.67,3.33,5.56,7.78,7.78,10,7.78,10,3
"163",8.89,8.89,8.89,7.78,8.89,10,10,7.78,6.67,7.78,3
"164",4.44,7.78,8.89,7.78,10,8.89,10,8.89,10,10,3
"165",4.44,10,7.78,7.78,7.78,0,0,0,1.11,0,1
"166",2.22,4.44,3.33,1.11,1.11,1.11,2.22,3.33,2.22,1.11,2
"167",0,0,3.33,0,2.22,0,0,1.11,0,0,2
"168",10,10,10,10,10,10,10,10,10,10,3
"169",8.89,8.89,7.78,10,8.89,8.89,7.78,10,8.89,8.89,3
"170",10,10,7.78,7.78,10,10,8.89,10,10,10,3
"171",8.89,8.89,5.56,7.78,10,7.78,8.89,8.89,7.78,10,3
"172",7,9,8,7,10,10,7,7,9,8,3
"173",10,10,10,8.89,10,10,10,10,7.78,10,3
"174",7,8,7,10,9,9,7,8,10,9,3
"175",9,10,8,7,8,9,7,8,10,8,3
"176",1.11,3.33,3.33,4.44,6.67,4.44,4.44,4.44,3.33,2.22,1
"177",7.78,8.89,10,4.44,8.89,8.89,6.67,6.67,8.89,7.78,3
"178",2.22,8.89,8.89,0,4.44,4.44,1.11,4.44,7.78,0,1
"179",8.89,10,8.89,7.78,10,8.89,8.89,7.78,8.89,6.67,3
"180",10,10,10,10,10,10,10,10,10,10,3
"181",4.44,5.56,10,7.78,7.78,10,10,10,10,10,3
"182",10,8.89,10,7.78,10,10,10,10,10,8.89,3
"183",3.33,3.33,4.44,0,0,3.33,0,2.22,0,3.33,2
"184",8.89,8.89,6.67,5.56,10,7.78,10,10,10,10,3
"185",10,8.89,10,10,10,10,10,10,10,10,3
"186",7.78,10,10,8.89,8.89,6.67,6.67,7.78,10,5.56,3
"187",10,10,10,0,10,10,10,10,10,10,3
"188",4.44,6.67,5.56,6.67,7.78,7.78,7.78,6.67,6.67,7.78,1
"189",9,8,8,9,7,8,8,9,7,9,3
"190",7,7,10,8,9,8,8,10,7,9,3
"191",0,10,10,0,10,10,0,0,0,0,1
"192",6,6,6,5,6,5,6,6,5,5,1
"193",5.56,7.78,6.67,4.44,8.89,7.78,6.67,7.78,8.89,8.89,3
"194",7.78,7.78,7.78,6.67,7.78,7.78,7.78,7.78,7.78,7.78,3
"195",0,0,4.44,0,6.67,4.44,10,10,4.44,0,1
"196",3,1,0,1,0,1,3,1,1,1,2
"197",7.78,7.78,4.44,4.44,10,6.67,7.78,10,8.89,8.89,3
"198",1,1,3,2,0,0,0,2,2,3,2
"199",7.78,10,4.44,7.78,10,4.44,7.78,8.89,8.89,10,3
"200",2,1,1,0,1,1,2,3,2,1,2
"201",5,6,5,5,4,4,5,5,4,4,1
"202",10,10,10,10,10,10,10,10,10,10,3
"203",6,6,4,6,5,6,6,6,4,5,1
"204",4,4,4,6,4,5,6,5,4,6,1
"205",6,4,5,4,5,6,5,4,6,6,1
"206",7,10,9,9,8,7,8,10,8,9,3
"207",7,10,10,8,9,7,9,8,7,7,3
"208",4,6,4,4,4,6,6,5,5,4,1
"209",8,7,9,8,9,9,7,7,7,9,3
"210",7.78,7.78,7.78,4.44,8.89,7.78,8.89,8.89,6.67,8.89,3
"211",2,1,2,2,2,0,1,1,3,0,2
"212",1,2,1,3,2,3,3,1,2,1,2
"213",7,10,10,8,10,10,8,8,8,8,3
"214",10,10,10,7.78,10,4.44,5.56,4.44,4.44,0,1
"215",8.89,10,10,4.44,10,10,10,10,4.44,10,3
"216",10,10,10,6.67,10,10,10,10,10,10,3
"217",4.44,10,10,4.44,4.44,2.22,0,0,4.44,0,1
"218",5,5,5,5,6,5,4,6,6,6,1
"219",3,2,3,3,0,0,3,0,0,0,2
"220",10,5.56,5.56,8.89,10,10,10,10,10,10,3
"221",7.78,7.78,10,10,7.78,7.78,7.78,8.89,7.78,10,3
"222",10,10,8.89,6.67,10,10,10,8.89,8.89,7.78,3
"223",7,7,10,8,10,7,8,9,8,10,3
"224",1.11,2.22,4.44,4.44,4.44,7.78,8.89,5.56,5.56,7.78,1
"225",0,2,0,3,0,3,1,3,0,1,2
"226",6.67,6.67,6.67,6.67,10,4.44,10,10,10,6.67,3
"227",0,10,0,2.22,7.78,0,0,3.33,3.33,0,2
"228",8.89,7.78,10,8.89,10,8.89,10,10,10,8.89,3
"229",0,3,1,2,1,0,3,1,1,3,2
"230",6.67,10,10,7.78,10,10,10,8.89,10,10,3
"231",3,3,1,2,3,1,3,1,0,3,2
"232",1.11,4.44,7.78,3.33,8.89,6.67,7.78,4.44,10,7.78,1
"233",1,0,3,3,0,3,3,3,0,2,2
"234",1.11,3,4.44,4.44,6.67,6.67,7.78,7.78,7.78,7.78,1
"235",8.89,7.78,10,4.44,10,7.78,8.89,8.89,7.78,8.89,3
"236",5,4,6,5,6,6,5,5,4,6,1
"237",4.44,2.22,3.33,4.44,10,10,10,10,8.89,10,3
"238",8.89,8.89,7.78,7.78,6.67,8.89,7.78,8.89,7.78,7.78,3
"239",0,7.78,4.44,0,10,10,10,10,10,10,3
"240",4.44,4.44,6.67,6.67,7.78,4.44,7.78,7.78,5.56,6.67,1
"241",1,3,3,0,1,1,2,0,0,0,2
"242",4.44,3.33,6.67,2.22,7.78,5.56,7.78,7.78,8.89,10,1
"243",1,2,2,0,1,0,0,2,2,0,2
"244",1,2,3,0,3,1,2,2,1,0,2
"245",7.78,7.78,7.78,7.78,4.44,4.44,4.44,4.44,7.78,7.78,1
"246",1.11,4.44,10,0,10,10,4.44,10,10,10,1
"247",4.44,8.89,10,7.78,4.44,10,10,10,10,4.44,3
"248",1,2,1,1,3,3,1,2,1,3,2
"249",5.56,6.67,6.67,7.78,6.67,5.56,4.44,4.44,6.67,0,1
"250",4.44,10,5.56,2.22,10,7.78,8.89,8.89,4.44,10,3
"251",1,2,2,1,0,1,1,2,3,2,2
"252",10,10,10,0,10,10,0,10,10,0,1
"253",10,9,7,10,10,10,8,10,8,7,3
"254",3,1,3,3,2,0,1,1,3,0,2
"255",10,10,10,10,10,10,10,10,10,10,3
"256",10,10,10,8.89,10,8.89,10,10,7.78,10,3
"257",10,10,5.56,8.89,7.78,10,7.78,7.78,5.56,8.89,3
"258",0,0,0,1,3,1,0,3,1,3,2
"259",6,5,6,4,6,6,5,5,6,6,1
"260",4,4,6,5,6,6,5,6,5,6,1
"261",7.78,10,8.89,8.89,8.89,8.89,10,10,10,10,3
"262",6.67,7.78,6.67,7.78,7.78,6.67,6.67,7.78,8.89,8.89,3
"263",10,7.78,5.56,10,10,10,7.78,10,4.44,10,3
"264",9,8,9,10,7,9,8,9,9,10,3
"265",10,10,7.78,8.89,8.89,7.78,8.89,8.89,10,10,3
"266",6,5,5,6,4,4,6,6,4,5,1
"267",4.44,7.78,7.78,7.78,10,10,10,10,7.78,10,3
"268",3.33,10,5.56,7.78,10,8.89,8.89,10,8.89,7.78,3
"269",8.89,10,4.44,6.67,7.78,8.89,8.89,8.89,10,8.89,3
"270",5.56,5.56,7.78,5.56,7.78,7.78,5.56,7.78,7.78,10,3
"271",7.78,6.67,10,7.78,10,10,10,10,10,10,3
"272",4,5,6,6,4,6,5,6,6,4,1
"273",3.33,8.89,8.89,3.33,8.89,8.89,8.89,5.56,5.56,7.78,1
"274",8.89,8.89,7.78,6.67,10,8.89,10,10,8.89,10,3
"275",10,10,10,10,10,10,10,10,10,10,3
"276",5,4,6,4,4,6,6,6,5,6,1
"277",5.56,7.78,10,5.56,10,6.67,8.89,4.44,7.78,8.89,3
"278",7.78,10,10,6.67,10,8.89,10,10,10,10,3
"279",7.78,10,5.56,6.67,10,7.78,10,10,6.67,10,3
"280",7.78,10,10,5.56,10,10,10,10,10,10,3
"281",6.67,6.67,6.67,4.44,5.56,7.78,6.67,6.67,5.56,7.78,1
"282",7.78,7.78,6.67,7.78,7.78,8.89,8.89,7.78,8.89,6.67,3
"283",8.89,10,7.78,8.89,10,10,10,10,8.89,10,3
"284",4,5,5,6,6,6,6,5,4,6,1
"285",4,6,6,6,4,6,4,6,6,6,1
"286",10,10,6.67,6.67,10,10,10,10,10,10,3
"287",10,7.78,10,4.44,7.78,10,4.44,6.67,4.44,0,1
"288",10,10,10,10,10,10,10,10,10,10,3
"289",7.78,7.78,8.89,6.67,10,10,10,10,10,10,3
"290",1.11,4.44,2.22,0,0,0,0,0,1.11,0,2
"291",7.78,7.78,4.44,2.22,7.78,6.67,6.67,6.67,6.67,6.67,1
"292",4,6,6,6,6,5,4,4,6,4,1
"293",6.67,5.56,8.89,6.67,7.78,7.78,3.33,5.56,8.89,7.78,1
"294",3,1,3,1,0,0,2,3,2,2,2
"295",0,10,3.33,0,10,10,6.67,10,5.56,10,1
"296",5,4,4,5,4,6,5,6,6,5,1
"297",3.33,8.89,10,10,10,10,6.67,10,10,10,3
"298",4,5,5,5,5,6,6,5,4,6,1
"299",10,10,10,10,10,10,10,10,10,10,3
"300",7.78,6.67,10,4.44,10,10,8.89,7.78,6.67,10,3
"301",10,10,8.89,10,10,10,10,10,10,10,3
"302",4.44,10,10,7.78,10,8.89,5.56,5.56,10,4.44,3
"303",0,1,2,2,0,2,2,1,2,2,2
"304",1,0,1,1,0,2,1,2,1,3,2
"305",7,7,9,9,9,9,8,7,9,10,3
"306",3.33,3.33,2.22,5.56,7.78,6.67,7.78,6.67,6.67,10,1
"307",4.44,4.44,10,0,7.78,10,6.67,0,10,0,1
"308",8,7,7,9,10,7,7,7,10,9,3
"309",10,10,10,10,10,10,10,10,10,10,3
"310",7.78,7.78,7.78,6.67,10,7.78,8.89,6.67,6.67,7.78,3
"311",6.67,10,10,4.44,8.89,10,8.89,8.89,8.89,10,3
"312",8.89,10,7.78,6.67,10,10,10,10,8.89,10,3
"313",7.78,10,6.67,6.67,7.78,6.67,7.78,7.78,6.67,8.89,3
"314",4.44,8.89,10,4.44,10,7.78,10,8.89,7.78,10,3
"315",10,7,9,7,8,7,7,7,9,10,3
"316",10,7.78,10,10,10,10,10,10,10,0,3
"317",4.44,7.78,7.78,8.89,10,10,8.89,8.89,10,7.78,3
"318",4.44,6.67,2.22,1.11,8.89,5.56,10,8.89,4.44,8.89,1
"319",6.67,4.44,4.44,7.78,8.89,3.33,5.56,3.33,6.67,1.11,1
"320",7.78,10,8.89,2.22,10,8.89,10,10,8.89,8.89,3
"321",5,6,4,5,6,6,5,4,6,4,1
"322",3,2,0,3,3,0,1,3,0,0,2
"323",8.89,10,10,10,10,10,10,10,10,10,3
"324",7.78,10,10,10,10,10,10,10,10,10,3
"325",7.78,10,10,1.11,10,10,10,7.78,1.11,10,3
"326",3.33,10,7.78,10,10,10,10,10,10,5.56,3
"327",4.44,10,8.89,7.78,8.89,8.89,10,10,8.89,10,3
"328",5,6,5,6,4,6,4,4,5,6,1
"329",7,9,7,8,8,7,8,10,7,9,3
"330",0,6.67,6.67,3.33,7.78,6.67,7.78,7.78,8.89,6.67,1
"331",4.44,7.78,2.22,1.11,8.89,4.44,2.22,7.78,6.67,4.44,1
"332",1.11,10,10,4.44,10,6.67,10,10,10,10,3
"333",10,10,10,8.89,10,10,8.89,10,8.89,10,3
"334",6.67,8.89,7.78,0,6.67,0,7.78,6.67,1.11,8.89,1
"335",3,0,3,3,2,3,0,0,0,2,2
"336",8.89,0,6.67,4.44,10,8.89,7.78,10,7.78,7.78,3
"337",8.89,7.78,10,4.44,7.78,6.67,2.22,8.89,6.67,4.44,1
"338",10,8.89,10,7.78,10,7.78,5.56,5.56,8.89,5.56,3
"339",3,2,2,3,2,0,2,0,2,2,2
"340",7.78,10,6.67,10,10,10,10,10,10,10,3
"341",5,6,5,5,6,4,5,4,6,4,1
"342",7.78,10,10,10,10,8.89,10,10,10,10,3
"343",4.44,6.67,8.89,2.22,8.89,5.56,7.78,4.44,8.89,0,1
"344",4.44,8.89,10,4.44,4,4.44,3.33,4.44,4.44,0,1
"345",10,8.89,10,7.78,10,8.89,8.89,10,10,10,3
"346",8.89,7.78,6.67,3.33,7.78,6.67,5.56,7.78,5.56,2.22,1
"347",7,10,9,7,7,8,10,10,7,7,3
"348",7.78,7.78,6.67,8.89,10,8.89,8.89,10,8.89,10,3
"349",7,10,8,10,7,8,10,8,10,10,3
"350",5.56,5.56,10,7.78,10,7.78,7.78,10,7.78,10,3
"351",6,6,5,4,6,4,5,4,5,4,1
"352",8.89,10,10,10,10,10,10,10,10,10,3
"353",10,10,10,6.67,8.89,8.89,8.89,10,8.89,10,3
"354",5.56,8.89,10,7.78,10,10,10,5.56,10,5.56,3
"355",7,9,10,8,7,9,7,10,10,9,3
"356",7,10,7,10,9,7,7,10,8,8,3
"357",7,7,7,7,9,9,8,7,7,8,3
"358",0,3,2,1,0,1,0,1,2,3,2
"359",2.22,5.56,8.89,8.89,10,10,10,10,10,10,3
"360",5,6,5,5,6,6,5,5,5,4,1
"361",7,8,7,7,8,9,9,7,9,9,3
"362",7.78,10,10,6.67,10,8.89,7.78,10,8.89,10,3
"363",10,8.89,10,10,10,8.89,10,10,8.89,10,3
"364",5,4,5,6,4,6,5,4,6,5,1
"365",6,4,4,6,6,5,6,4,4,4,1
"366",1.11,4.44,3.33,1.11,7.78,4.44,3.33,1.11,3.33,3.33,2
"367",8,8,10,10,7,10,9,9,9,9,3
"368",8.89,8.89,7.78,6.67,10,10,10,10,10,10,3
"369",2.22,1.11,4.44,7.78,10,10,10,6.67,10,6.67,1
"370",10,8.89,8.89,8.89,10,10,10,10,10,10,3
"371",5.56,10,10,10,10,10,7.78,10,10,10,3
"372",7.78,10,10,10,10,10,10,10,10,10,3
"373",4.44,6.67,4.44,6.67,8.89,7.78,10,10,7.78,8.89,3
"374",8,9,8,10,9,9,10,10,7,10,3
"375",0,0,0,0,1,2,3,1,0,3,2
"376",1,3,0,2,1,0,0,2,0,3,2
"377",6,4,4,6,4,5,6,5,5,5,1
"378",9,7,10,10,8,7,8,9,9,10,3
"379",5.56,7.78,5.56,7.78,10,5.56,5.56,5.56,5.56,7.78,1
"380",2,1,1,1,3,0,0,3,0,1,2
"381",7,9,8,8,7,7,10,7,10,10,3
"382",7.78,4.44,7.78,4.44,10,7.78,7.78,10,10,7.78,3
"383",9,10,7,9,8,8,8,9,7,10,3
"384",3.33,7.78,4.44,0,10,7.78,7.78,10,10,10,3
"385",5.56,6.67,6.67,7.78,8.89,8.89,7.78,7.78,7.78,8.89,3
"386",4,4,5,4,6,6,6,4,6,5,1
"387",5,4,5,5,4,6,4,4,4,5,1
"388",7.78,7.78,4.44,4.44,8.89,8.89,2.22,7.78,4.44,2.22,1
"389",7.78,10,10,10,10,10,10,10,10,10,3
"390",5,5,4,4,6,5,4,6,5,4,1
"391",7.78,7.78,8.89,8.89,10,7.78,8.89,8.89,8.89,6.67,3
"392",7.78,7.78,10,6.67,10,10,10,10,7.78,7.78,3
"393",1.11,8.89,10,7.78,10,10,10,10,8.89,10,3
"394",10,10,10,4.44,10,10,10,10,10,10,3
"395",10,10,10,7.78,1.11,1.11,1.11,4.44,6.67,4.44,1
"396",1,3,1,2,0,0,1,1,3,1,2
"397",1,3,0,3,1,1,0,2,0,2,2
"398",10,10,10,7.78,10,10,10,10,10,10,3
"399",10,10,10,10,10,10,7.78,10,10,6.67,3
"400",0,0,4.44,4.44,10,10,10,10,10,10,1
"401",0,10,10,4.44,10,10,10,10,10,7.78,3
"402",10,10,10,10,10,10,10,10,10,10,3
"403",8.89,8.89,8.89,7.78,8.89,8.89,7.78,8.89,7.78,8.89,3
"404",10,10,10,7.78,10,10,10,10,10,10,3
"405",6,6,5,6,6,6,6,6,6,4,1
"406",10,10,10,10,10,10,10,10,10,10,3
"407",3,0,2,3,2,3,3,1,1,0,2
"408",4.44,10,7.78,1.11,8.89,7.78,6.67,6.67,7.78,7.78,1
"409",4.44,10,7.78,10,10,10,10,10,10,10,3
"410",0,0,1,1,2,1,3,2,3,2,2
"411",10,10,10,10,10,10,10,10,10,10,3
"412",2.22,3.33,5.56,4.44,8.89,4.44,4.44,6.67,7.78,0,1
"413",6.67,10,4.44,0,2.22,2.22,2.22,0,4.44,0,2
"414",10,8.89,10,6.67,5.56,6.67,6.67,7.78,4.44,5.56,3
"415",4,6,6,4,6,5,6,5,4,4,1
"416",6.67,7.78,6.67,4.44,7.78,6.67,8.89,8.89,7.78,8.89,3
"417",8.89,10,10,8.89,10,10,10,8.89,10,8.89,3
"418",0,2,1,2,2,2,3,3,1,2,2
"419",6.67,8.89,6.67,3.33,7.78,6.67,8.89,6.67,6.67,5.56,1
"420",4.44,7.78,5.56,8.89,10,6.67,5.56,8.89,7.78,2.22,1
"421",7.78,10,7.78,8.89,10,10,10,10,8.89,7.78,3
"422",10,10,10,7.78,10,10,10,10,7.78,10,3
"423",7.78,7.78,10,6.67,10,10,10,10,8.89,10,3
"424",10,10,10,7.78,10,10,10,10,10,10,3
"425",1,3,2,3,3,3,3,0,0,3,2
"426",6.67,4.44,4.44,7.78,8.89,5.56,7.78,6.67,8.89,8.89,1
"427",0,0,0,0,0,0,0,0,0,0,2
"428",9,7,9,10,9,10,8,10,9,10,3
"429",4,5,4,4,4,4,5,5,5,6,1
"430",4.44,10,5.56,4.44,8.89,8.89,8.89,7.78,3.33,7.78,1
"431",10,7.78,7.78,7.78,10,10,7.78,7.78,10,4.44,3
"432",7.78,4.44,7.78,7.78,10,7.78,7.78,4.44,7.78,7.78,3
"433",10,10,10,5.56,10,10,10,10,10,10,3
"434",2,1,2,0,2,0,1,0,0,0,2
"435",4,6,6,5,5,6,4,6,4,5,1
