Loan_Status,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Gender,Dependents,Self_Employed,Credit_History,Amauntxterm,Property_Area,Income
1,754,160,360,2,1,1,2,28.5625,1,3816
1,1030,100,360,2,2,1,2,40.82,1,3052
1,1126,225,360,2,3,1,2,55.74666667,1,11417
0,0,120,360,2,1,1,2,61.10833333,1,7333
0,3600,216,360,2,3,1,1,34.25925926,1,3800
1,754,94,480,2,4,1,2,30.05319149,2,2071
1,0,136,360,2,1,1,2,39.08823529,1,5316
1,2333,139,360,1,1,1,2,37.85611511,2,2929
0,4114,152,360,2,1,1,1,50.56578947,1,3572
1,0,120,360,1,2,2,2,62.09166667,2,7451
1,0,118,360,2,1,1,2,42.79661017,2,5050
1,0,185,180,2,2,1,2,78.82702703,1,14583
1,2283,154,360,1,1,1,2,35.38961039,2,3167
1,1398,85,360,2,2,1,2,42.49411765,1,2214
0,2142,175,360,2,1,1,2,44.05714286,1,5568
1,0,259,360,1,1,1,2,40.18532819,1,10408
1,2667,180,360,2,1,1,2,46.3,1,5667
1,0,44,360,1,1,1,2,94.68181818,2,4166
1,8980,137,360,1,1,1,1,81.1459854,2,2137
1,0,81,360,2,3,1,2,36.50617284,2,2957
1,2014,194,360,2,1,1,2,32.54639175,1,4300
1,0,93,360,1,1,1,2,39.69892473,1,3692
1,0,370,360,2,4,1,2,64.33243243,1,23803
1,1640,120,360,2,1,1,2,45.875,1,3865
0,3850,160,180,2,2,2,1,89.76875,1,10513
0,2569,182,360,2,1,1,2,47.52197802,1,6080
1,0,650,480,2,1,2,2,31.02461538,1,20166
1,1929,74,360,2,1,1,2,53.28378378,1,2014
1,0,70,360,2,1,1,2,38.82857143,2,2718
1,0,25,120,2,1,2,2,138.36,2,3459
1,0,102,360,2,1,1,2,47.99019608,2,4895
0,7750,290,360,2,4,1,2,40.51724138,2,4000
0,0,84,360,1,1,1,2,54.55952381,1,4583
1,3500,88,360,2,3,2,2,77.45454545,1,3316
0,0,242,360,2,1,1,1,61.97933884,2,14999
0,1430,129,360,2,3,1,2,43.64341085,1,4200
0,2083,185,360,2,3,1,2,38.51351351,1,5042
1,0,168,360,2,1,1,2,32.24404762,1,5417
1,0,175,180,2,1,2,2,39.71428571,2,6950
1,2034,122,360,2,1,1,2,38.78688525,2,2698
1,0,187,180,2,3,1,2,62.87165775,1,11757
1,4486,100,360,1,1,1,2,68.16,2,2330
1,0,70,360,1,3,1,2,212.3714286,1,14866
1,1425,30,360,2,2,1,2,98.76666667,1,1538
0,1666,225,360,1,1,1,2,51.84888889,1,10000
1,830,125,360,2,1,1,2,45.52,2,4860
0,0,118,360,2,1,1,1,53.19491525,1,6277
1,3750,152,360,2,1,2,2,41.625,1,2577
0,0,244,360,2,1,1,2,37.56557377,1,9166
0,0,113,360,2,3,1,2,20.18584071,1,2281
1,0,50,360,2,1,1,2,65.08,1,3254
1,0,600,180,2,4,1,1,66.665,2,39999
1,0,160,360,2,2,1,2,37.5,1,6000
1,0,187,360,2,2,1,2,51.00534759,1,9538
1,2083,120,360,2,1,1,2,42.19166667,1,2980
1,5625,255,360,2,1,1,2,40.03137255,2,4583
1,1041,98,360,2,1,1,2,29.63265306,2,1863
0,0,275,360,2,1,1,2,28.84727273,1,7933
0,1280,121,360,2,2,1,1,36.10743802,2,3089
1,1447,158,360,2,3,1,2,35.53164557,1,4167
1,0,75,180,2,1,1,2,124.3066667,1,9323
1,3166,182,360,2,1,1,2,37.76373626,1,3707
0,0,112,360,1,1,1,2,40.91964286,1,4583
1,3333,129,360,2,1,1,2,44.74418605,1,2439
0,0,63,480,2,1,1,1,35.50793651,2,2237
1,0,200,360,2,3,1,2,40,2,8000
1,1769,95,360,2,1,1,2,37.77894737,1,1820
1,0,700,300,2,4,1,2,73.94714286,1,51763
0,0,81,180,2,4,1,2,43.48148148,1,3522
1,5625,187,360,2,1,1,2,60.60427807,2,5708
0,736,87,360,2,1,2,2,58.3908046,2,4344
1,1964,116,360,2,1,1,2,47.07758621,1,3497
1,1619,101,360,2,3,1,2,36.27722772,1,2045
0,11300,495,360,2,4,1,1,33.97171717,2,5516
1,0,116,360,2,2,1,2,32.32758621,2,3750
0,1451,102,480,2,1,1,1,37.09803922,1,2333
0,7250,180,360,2,2,1,1,75.83333333,1,6400
0,5063,67,360,2,1,1,2,104.1641791,1,1916
1,0,73,180,2,1,1,2,63.01369863,2,4600
0,0,260,360,2,2,1,2,130.1769231,2,33846
1,0,108,360,1,1,1,2,33.56481481,2,3625
1,4750,120,360,2,1,2,2,365.8083333,2,39147
0,0,66,300,2,2,2,1,33,1,2178
1,2138,58,360,2,1,1,2,77.94827586,1,2383
1,5296,168,360,2,1,2,2,35.53571429,1,674
1,0,188,180,2,1,1,2,49.61702128,1,9328
1,0,48,360,2,1,1,2,101.7708333,1,4885
0,0,164,360,2,1,1,2,73.17073171,2,12000
0,0,160,360,2,1,1,2,37.70625,1,6033
1,0,76,360,2,1,1,2,50.76315789,2,3858
1,0,120,360,2,1,1,2,34.925,1,4191
0,2583,170,360,2,2,1,2,33.57647059,2,3125
1,3750,187,360,2,1,1,2,64.61497326,1,8333
1,2365,120,360,1,1,1,2,35.6,1,1907
1,2816,113,360,1,1,1,2,55.15044248,2,3416
0,0,83,360,2,1,2,2,132.5301205,1,11000
1,2500,90,360,2,2,1,2,56.66666667,2,2600
1,0,166,360,2,3,1,1,29.65662651,2,4923
0,0,120,180,2,4,1,2,33.26666667,1,3992
1,1083,135,360,2,2,1,2,33.94814815,1,3500
1,0,124,360,2,3,1,2,31.58870968,2,3917
1,0,120,360,1,1,1,2,36.73333333,2,4408
1,0,80,360,1,1,1,2,40.55,1,3244
1,2531,55,360,2,1,1,2,118.2909091,1,3975
1,0,59,360,2,1,1,2,42.01694915,1,2479
0,0,127,360,2,1,1,2,26.91338583,2,3418
0,0,214,360,1,1,1,2,46.72897196,2,10000
0,1250,128,360,2,4,1,1,36.5625,2,3430
1,0,240,360,2,2,2,2,32.44583333,1,7787
1,0,130,360,2,4,2,2,43.86923077,1,5703
1,3021,137,360,2,1,1,2,45.21167883,1,3173
1,983,100,360,2,4,1,2,48.33,2,3850
0,1800,135,360,2,1,1,2,14.44444444,1,150
1,1775,131,360,2,1,1,2,42,2,3727
0,0,72,360,2,3,1,1,69.44444444,2,5000
1,2383,127,360,1,3,1,2,52.48818898,2,4283
0,0,60,360,2,1,1,1,37.01666667,1,2221
1,1717,116,360,2,3,1,2,49.36206897,2,4009
1,2791,144,360,2,1,1,2,40.01388889,2,2971
1,1010,175,360,2,1,1,2,49.07428571,2,7578
1,0,128,360,2,1,1,2,48.828125,2,6250
0,0,170,360,2,1,1,2,19.11764706,1,3250
0,0,138,360,2,1,2,2,34.3115942,1,4735
1,1695,210,360,2,3,1,2,37.83333333,2,6250
1,0,158,480,2,1,1,2,30.11392405,2,4758
1,0,200,360,2,1,2,2,32,1,6400
1,2054,104,360,2,2,1,2,43.70192308,2,2491
1,0,42,180,2,1,1,2,88.47619048,1,3716
1,2598,120,360,2,1,1,2,48.225,1,3189
1,0,280,360,1,1,1,2,29.76071429,2,8333
1,1779,140,360,2,2,1,2,35.24285714,2,3155
1,1260,170,360,2,2,1,2,39.76470588,1,5500
0,0,255,360,2,1,1,2,22.53333333,1,5746
1,0,122,360,1,1,2,2,28.3852459,1,3463
1,0,112,360,1,2,1,2,34.03571429,1,3812
1,0,96,360,2,2,1,2,34.53125,2,3315
1,5000,120,360,2,3,1,2,90.15833333,1,5819
0,1983,140,180,2,2,1,2,32.09285714,1,2510
1,5701,155,60,2,1,1,2,55.90967742,1,2965
1,1300,108,360,2,3,2,2,69.90740741,1,6250
1,4417,123,360,2,1,1,2,63.60162602,2,3406
0,4333,120,180,2,1,2,2,86.525,1,6050
1,0,112,360,2,3,1,2,86.63392857,1,9703
1,0,137,180,2,2,1,2,48.23357664,1,6608
1,1843,123,480,2,2,1,2,38.41463415,2,2882
1,1868,90,360,2,1,1,2,40.85555556,1,1809
0,3890,201,360,2,1,1,1,27.65174129,2,1668
0,0,138,360,1,3,1,2,24.83333333,1,3427
1,2167,104,360,2,1,2,2,45.67307692,1,2583
1,7101,279,180,2,2,1,2,34.98924731,2,2661
0,0,192,360,2,1,2,1,84.63541667,1,16250
1,0,255,360,1,4,1,2,12.09019608,1,3083
0,0,115,360,2,1,1,1,52.56521739,1,6045
0,0,94,360,2,4,1,2,55.85106383,1,5250
0,2100,304,360,2,1,1,2,55.20723684,1,14683
0,0,128,360,2,4,1,2,38.5234375,2,4931
1,4250,330,360,2,2,1,2,31.31212121,1,6083
1,2209,134,360,2,1,1,2,31.85820896,2,2060
0,0,155,36,1,2,1,2,22.45806452,2,3481
1,0,120,360,1,1,1,2,60,1,7200
1,0,128,360,2,1,2,2,40.359375,2,5166
1,3447,151,360,2,1,1,2,49.94701987,1,4095
1,1387,150,360,2,3,1,2,40.63333333,2,4708
1,1811,160,360,2,4,1,1,38.4,1,4333
0,0,135,360,1,1,1,2,25.31851852,1,3418
1,1560,90,360,1,2,1,2,49.28888889,1,2876
1,0,30,360,1,1,1,2,107.9,1,3237
1,0,136,360,2,1,1,2,81.95588235,1,11146
1,1857,126,360,2,1,1,2,37.22222222,1,2833
1,2223,150,360,2,1,1,2,32.28666667,2,2620
1,0,90,360,2,3,1,2,43.33333333,2,3900
1,1842,115,360,2,2,1,2,39.93043478,2,2750
1,3274,207,360,2,1,1,2,35.10628019,2,3993
1,1300,80,360,2,1,1,2,55.0375,1,3103
1,0,436,360,2,1,1,2,33.44724771,2,14583
1,0,124,360,1,1,1,2,33.06451613,1,4100
0,2426,158,360,2,2,2,1,41.00632911,1,4053
1,800,112,360,2,1,1,2,42.20535714,2,3927
1,985.7999878,78,180,2,3,1,2,42.13846138,1,2301
1,1666,54,360,1,1,1,2,64.38888889,1,1811
0,0,120,360,2,1,1,2,172.225,1,20667
1,3053,89,360,2,1,1,2,69.78651685,1,3158
0,1717,99,300,1,1,2,2,43.60606061,2,2600
1,2000,120,360,2,1,1,2,47.53333333,1,3704
1,0,115,360,1,1,1,2,35.86086957,2,4124
1,0,187,360,2,1,1,2,50.84491979,1,9508
1,2416,139,360,2,1,1,2,39.50359712,1,3075
0,0,127,360,2,3,1,1,34.64566929,2,4400
1,1560,134,360,2,3,1,2,35.17164179,1,3153
0,0,143,480,1,1,1,1,37.88111888,1,5417
1,3334,172,360,2,1,1,2,33.23837209,2,2383
1,1250,110,360,2,4,1,2,51.50909091,1,4416
1,0,200,360,2,2,1,2,34.375,2,6875
1,0,135,360,1,2,1,2,34.56296296,1,4666
0,2541,151,480,1,1,1,2,49.94039735,1,5000
0,2925,113,360,2,2,1,2,43.7079646,1,2014
0,2934,93,360,2,1,1,1,50.90322581,1,1800
1,1750,105,360,2,1,1,2,44.04761905,2,2875
1,0,132,360,1,1,1,2,37.87878788,1,5000
1,1803,96,360,2,2,1,2,35.70833333,1,1625
1,2500,140,360,2,1,1,2,46.42857143,1,4000
0,0,120,360,2,1,1,2,16.66666667,1,2000
1,1666,135,360,1,1,1,2,40.20740741,1,3762
0,1863,104,360,1,1,1,1,40.99038462,1,2400
0,0,480,360,2,1,1,2,42.15208333,1,20233
1,0,185,360,2,3,1,2,41.44324324,1,7667
1,0,84,360,1,1,1,2,34.72619048,2,2917
1,2405,111,360,2,1,1,2,48.03603604,2,2927
1,0,56,360,1,1,1,2,44.76785714,1,2507
1,0,144,84,2,3,2,2,39.90277778,1,5746
0,1843,159,360,2,1,1,2,27.14465409,1,2473
1,1640,111,180,2,2,1,2,45.3963964,1,3399
1,0,120,360,2,3,1,2,30.975,2,3717
1,2134,88,360,2,1,1,2,47.63636364,1,2058
1,0,112,360,1,2,1,2,31.61607143,2,3541
0,0,155,360,2,2,2,2,64.51612903,1,10000
1,2167,115,360,2,1,1,2,39.71304348,2,2400
1,189,124,360,2,4,1,2,36.54032258,2,4342
1,1590,120,360,2,3,1,2,43.25833333,1,3601
1,2985,132,360,1,1,1,2,46.59848485,1,3166
1,0,300,360,2,4,1,2,50,1,15000
0,4983,376,360,2,2,2,1,36.30053191,1,8666
1,0,130,360,2,1,1,1,37.82307692,1,4917
1,2160,184,360,2,1,2,2,43.35869565,2,5818
0,2451,110,360,1,1,1,2,61.67272727,1,4333
1,0,67,360,1,1,1,2,37.31343284,1,2500
1,1793,117,360,2,2,1,2,52.79487179,1,4384
1,0,98,360,2,1,1,2,29.94897959,2,2935
1,0,71,360,2,1,1,2,39.90140845,1,2833
1,0,490,180,2,1,1,2,129.2591837,1,63337
1,1833,182,180,2,2,2,2,64.0989011,1,9833
1,4490,70,360,2,1,2,2,142.7571429,2,5503
1,688,160,360,2,2,1,2,37.1125,1,5250
1,4600,176,360,2,3,2,2,40.34090909,1,2500
0,0,120,360,1,4,1,1,15.25,1,1830
1,0,71,360,1,1,1,2,58.5915493,2,4160
0,1587,173,360,2,4,1,2,24.47398844,1,2647
0,0,46,360,1,1,1,2,51.69565217,1,2378
1,1229,158,360,2,2,1,2,36.60126582,1,4554
1,0,74,360,2,4,1,2,42.87837838,2,3173
1,2330,125,360,2,3,1,2,39.304,1,2583
1,2458,160,360,2,1,1,2,30.98125,2,2499
0,3230,152,360,2,1,1,1,44.42763158,1,3523
1,2168,126,360,2,3,1,2,41.67460317,1,3083
1,4583,259,360,2,1,1,2,42.14671815,2,6333
1,6250,187,360,2,1,1,2,47.45989305,1,2625
1,0,228,360,2,1,1,2,39.8377193,2,9083
0,4167,308,360,2,1,1,2,41.93831169,1,8750
1,2083,95,360,2,4,1,2,49.98947368,1,2666
0,0,105,360,1,1,2,1,52.38095238,1,5500
1,505,130,360,1,1,1,2,22.52307692,2,2423
1,0,116,180,1,1,1,2,32.87068966,1,3813
1,3167,165,360,2,3,1,2,69.6969697,1,8333
0,0,67,360,2,2,1,2,57.8358209,1,3875
0,1666,100,480,2,1,1,1,46.66,1,3000
1,3167,200,360,2,4,1,2,41.67,2,5167
0,0,81,360,1,2,1,2,58.30864198,2,4723
1,3667,236,360,2,3,1,2,36.72457627,2,5000
1,2333,130,360,2,1,1,2,54.48461538,1,4750
1,3033,95,300,2,1,1,2,63.64210526,1,3013
1,0,141,360,2,1,2,2,48.38297872,1,6822
0,0,133,360,2,1,1,2,46.73684211,1,6216
0,0,96,480,2,1,1,2,26.04166667,2,2500
0,0,124,360,2,1,1,1,41.32258065,1,5124
1,0,175,360,2,2,1,2,36.14285714,2,6325
0,5266,570,360,2,1,1,2,43.85263158,1,19730
1,0,55,360,1,1,2,2,286.5272727,2,15759
1,0,155,360,2,3,1,2,33.4516129,2,5185
1,7873,380,300,2,3,2,2,45.25263158,1,9323
0,1987,111,180,2,2,1,1,45.48648649,1,3062
1,1459,110,360,1,1,1,2,38.39090909,1,2764
1,923,120,180,2,1,1,2,47.83333333,1,4817
1,4996,130,360,2,4,1,2,105.7384615,1,8750
1,0,130,360,2,1,1,2,33.15384615,2,4310
0,0,71,480,2,1,1,2,43.22535211,1,3069
1,0,130,360,2,3,1,2,41.46923077,1,5391
1,2500,128,360,2,1,1,2,45.5703125,2,3333
1,4232,296,360,2,1,1,2,34.36824324,2,5941
1,0,156,360,1,1,1,2,38.46153846,1,6000
1,0,128,360,2,1,2,2,55.9921875,1,7167
0,0,100,360,2,3,1,2,45.66,1,4566
1,0,113,180,2,2,1,2,32.45132743,1,3667
1,1600,132,360,2,1,1,2,29.89393939,2,2346
0,3136,120,360,2,1,1,1,51.21666667,1,3010
1,2417,136,360,2,1,1,2,34.92647059,1,2333
1,0,125,360,2,1,1,2,43.904,1,5488
1,0,185,360,2,4,1,2,49.55135135,1,9167
1,0,275,360,2,4,1,2,34.56,1,9504
1,2115,120,360,2,1,1,2,39.15,1,2583
1,1625,113,180,2,3,1,2,32.01769912,2,1993
1,1400,113,360,2,3,1,2,39.82300885,1,3100
1,484,135,360,2,3,1,2,27.85185185,2,3276
0,0,71,360,1,1,1,1,44.78873239,1,3180
1,1459,95,360,2,1,1,2,47.28421053,1,3033
1,1666,109,360,2,1,1,2,51.08256881,1,3902
0,1800,103,360,1,1,1,1,32.03883495,2,1500
0,0,45,180,2,3,1,1,64.2,1,2889
0,0,65,300,2,1,1,2,42.38461538,1,2755
1,20000,103,360,2,1,1,2,218.4466019,2,2500
1,0,53,360,1,1,1,2,37.03773585,2,1963
0,0,194,360,1,1,2,2,38.3556701,1,7441
1,0,115,360,1,1,1,2,39.53913043,2,4547
1,2400,115,360,2,1,1,2,39.71304348,1,2167
1,0,66,360,1,1,1,2,33.53030303,1,2213
0,0,152,300,2,2,1,1,54.60526316,2,8300
0,0,360,360,2,4,1,1,225,1,81000
0,0,62,360,1,2,2,2,62.37096774,2,3867
1,0,160,360,2,1,1,2,39.1,1,6256
0,0,218,360,2,1,1,1,27.96330275,1,6096
1,2033,110,360,2,1,1,2,38.96363636,1,2253
0,3237,178,360,1,1,1,1,30.25842697,2,2149
1,0,60,360,1,1,1,2,49.91666667,1,2995
0,0,160,360,1,2,1,2,16.25,1,2600
0,20000,239,360,2,3,2,2,90.37656904,1,1600
1,2773,112,360,2,1,1,2,33.91071429,1,1025
1,1417,138,360,2,1,1,2,33.78985507,2,3246
1,0,138,360,2,1,1,2,42.23913043,1,5829
0,0,80,360,1,1,1,1,34,1,2720
1,1719,100,360,2,1,1,2,35.39,1,1820
0,1667,110,360,2,2,1,1,81.06363636,1,7250
1,0,96,360,2,1,1,2,155,2,14880
1,4300,121,360,2,1,1,2,57.57024793,1,2666
0,0,81,360,1,2,1,2,56.86419753,1,4606
1,0,133,360,2,3,1,2,44.62406015,2,5935
1,16.12000084,87,360,2,1,1,2,33.74850576,1,2920
1,0,60,180,2,1,1,2,45.28333333,1,2717
1,0,150,360,1,2,2,2,57.49333333,2,8624
0,0,105,360,2,1,1,1,61.9047619,1,6500
1,0,405,360,2,1,1,2,31.79259259,2,12876
1,2340,143,360,2,1,1,2,33.32167832,2,2425
1,0,100,360,2,1,1,2,37.5,1,3750
1,0,120,240,1,1,1,2,83.725,2,10047
1,1851,50,360,2,1,1,2,75.54,2,1926
1,1125,120,360,2,1,1,2,27.81666667,1,2213
0,0,187,360,2,1,2,1,55.70053476,1,10416
1,0,138,360,1,1,2,2,51.75362319,1,7142
1,5064,187,360,2,1,1,2,46.65240642,2,3660
1,1833,180,360,2,1,1,2,54.07777778,1,7901
1,1993,148,360,2,4,1,2,45.27027027,2,4707
1,0,152,360,2,2,1,2,248.1513158,2,37719
1,8333,175,300,2,1,1,2,89.52,1,7333
1,1210,130,360,2,2,2,2,35.96923077,1,3466
1,0,110,360,2,3,1,2,42.29090909,1,4652
0,1376,55,360,2,1,1,2,89.36363636,1,3539
0,1710,150,360,2,3,1,1,33.66666667,1,3340
0,1542,190,360,2,2,2,2,22.68947368,2,2769
0,1255,125,360,2,3,1,1,28.512,1,2309
1,1456,60,300,2,3,1,2,56.9,1,1958
0,1733,149,360,2,1,1,1,38.12751678,1,3948
1,2466,90,180,2,1,1,1,54.98888889,1,2483
1,0,84,360,2,1,2,2,84.3452381,2,7085
1,0,96,360,2,3,1,2,40.19791667,2,3859
1,0,118,360,2,1,1,2,36.44915254,1,4301
0,2569,173,360,2,1,1,2,36.28323699,1,3708
1,0,136,360,2,3,1,2,32.01470588,1,4354
0,0,160,360,2,1,1,2,52.0875,2,8334
1,4083,160,360,2,1,2,2,38.5375,2,2083
1,0,128,180,2,4,1,2,60.46875,1,7740
1,2188,153,360,2,1,1,2,34.00653595,1,3015
1,0,132,360,1,2,1,2,39.32575758,2,5191
0,0,98,360,2,1,1,1,42.51020408,2,4166
1,0,140,360,2,1,1,2,42.85714286,1,6000
0,1664,70,180,2,4,1,1,65.87142857,1,2947
1,0,110,360,2,1,1,2,151.7454545,2,16692
1,2917,98,360,1,3,1,2,31.90816327,2,210
0,2451,110,360,2,1,1,2,61.67272727,1,4333
1,2079,162,360,2,2,2,2,34.12962963,2,3450
0,1500,113,180,2,2,1,1,36.75221239,1,2653
1,0,100,360,2,4,1,2,46.91,2,4691
1,0,93,360,1,1,2,2,26.88172043,1,2500
1,4648,162,360,2,3,1,2,62.83950617,1,5532
1,1014,150,360,2,3,2,2,116.9266667,1,16525
1,1750,230,300,2,3,1,2,36.73913043,2,6700
0,1872,132,360,2,3,1,1,35.9469697,2,2873
1,2250,86,360,2,2,2,2,219.9651163,2,16667
0,1603,120,360,2,3,1,2,37.91666667,1,2947
1,0,154,360,1,1,1,2,28.24675325,1,4350
1,0,113,360,2,4,1,2,27.38938053,1,3095
1,3150,128,360,2,1,1,2,40.8828125,2,2083
1,0,234,360,2,1,1,2,46.29487179,2,10833
1,0,246,360,2,3,1,2,33.87398374,2,8333
1,2436,131,360,2,2,1,2,33.54198473,1,1958
0,0,80,360,2,3,1,1,44.3375,1,3547
0,0,500,360,2,2,1,2,36.666,1,18333
1,2083,160,360,2,3,2,2,41.6625,2,4583
0,0,75,360,2,1,1,2,32.46666667,1,2435
1,2785,96,360,2,1,1,2,57.125,2,2699
1,1131,186,360,2,2,1,2,34.75268817,1,5333
1,0,110,360,2,1,1,2,33.55454545,1,3691
1,0,225,360,1,1,2,2,76.72444444,2,17263
0,2157,119,360,2,1,1,1,48.35294118,1,3597
1,913,105,84,1,2,1,2,40.37142857,2,3326
1,1700,107,360,2,1,1,2,40.18691589,1,2600
1,2857,111,12,2,1,1,2,67.40540541,1,4625
1,0,95,360,2,2,2,2,30.47368421,2,2895
0,4416,209,360,2,1,1,1,51.19138756,1,6283
1,3683,113,480,1,1,1,2,38.30088496,1,645
1,0,100,360,1,1,1,2,31.59,2,3159
1,5624,208,360,2,3,1,2,50.42788462,2,4865
0,5302,138,360,2,2,1,2,67.76811594,1,4050
1,1483,124,300,2,1,1,2,42.71774194,2,3814
1,4416,243,360,2,3,1,2,32.61728395,1,3510
1,6667,480,360,2,1,1,2,57.29166667,1,20833
0,0,96,360,2,1,1,2,37.32291667,1,3583
1,3013,188,360,2,1,2,2,29.21276596,1,2479
